center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,raw_sentence,sentence_position,text_value
[ 57.  35. 154.  10.   4.  50.  22. 115.],38,57,0,['PERSON'],175,1,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['Versey Street\\n\\n\\n\\nNew York']
[ 58.  35. 154.   3.   4.  50.  22.  86.],39,51,0,['FAC'],175,2,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['N.E. Suite 800\\n\\n\\n\\nAtlanta']
[ 58.  35. 154.   3.   4.  50.  22.  86.],39,58,1,['GPE'],175,2,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['New York']
[ 61.  35. 154.  11.   4.  50.  22.  26.],40,60,1,['PHONE_NUMBER'],175,4,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['309-3053']
[ 61.  35. 154.  11.   4.  50.  22.  26.],40,61,2,['PHONE_NUMBER'],175,4,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['281-1047']
[ 61.  35. 154.  11.   4.  50.  22.  26.],40,62,2,['PHONE_NUMBER'],175,4,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['309 3053']
[ 61.  35. 154.  11.   4.  50.  22.  26.],40,63,2,['PHONE_NUMBER'],175,4,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['281 1047']
[ 64.  35. 154.   1.   4.  50.  22.   5.],41,59,1,['DATE'],175,4,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['10281-1047']
[ 64.  35. 154.   1.   4.  50.  22.   5.],41,64,1,['DATE'],175,4,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],"[""('ida', '33606')""]"
[ 64.  35. 154.   1.   4.  50.  22.   5.],41,65,1,['DATE'],175,4,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],"[""('gia', '30309')""]"
[ 64.  35. 154.   1.   4.  50.  22.   5.],41,66,1,['DATE'],175,4,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],"[""('k', '10281')""]"
[ 67.   1. 207.   0.   5.   3.  19.  22.],42,67,0,['CARDINAL'],175,1,['20\\n\\n\\n\\nALSO PRESENT:  '],[207],['20\\n\\n\\n\\nALSO']
[ 68.   6. 211.  10.  63.  11.  24.  41.],43,68,1,['PERSON'],175,2,"['Ben Wooded, Esquire\\n\\n\\n\\nBrook Jagues, Esquire 22\\n\\n\\n\\nVeritext Reporting Company 212-2 7 9-9424                      www.veritext.com                      ']",[211],['Ben Wooded']
[ 68.   6. 211.  10.  63.  11.  24.  41.],43,71,2,['CARDINAL'],175,2,"['Ben Wooded, Esquire\\n\\n\\n\\nBrook Jagues, Esquire 22\\n\\n\\n\\nVeritext Reporting Company 212-2 7 9-9424                      www.veritext.com                      ']",[211],['212']
[ 69.   6. 211.  10.  63.  11.  24.  61.],44,69,0,['PERSON'],175,2,"['Ben Wooded, Esquire\\n\\n\\n\\nBrook Jagues, Esquire 22\\n\\n\\n\\nVeritext Reporting Company 212-2 7 9-9424                      www.veritext.com                      ']",[211],['Esquire\\n\\n\\n\\nBrook Jagues']
[ 69.   6. 211.  10.  63.  11.  24.  61.],44,70,1,['PERSON'],175,2,"['Ben Wooded, Esquire\\n\\n\\n\\nBrook Jagues, Esquire 22\\n\\n\\n\\nVeritext Reporting Company 212-2 7 9-9424                      www.veritext.com                      ']",[211],['Esquire']
[ 72.   6. 211.   1.  63.  11.  24.   2.],45,72,0,['DATE'],175,2,"['Ben Wooded, Esquire\\n\\n\\n\\nBrook Jagues, Esquire 22\\n\\n\\n\\nVeritext Reporting Company 212-2 7 9-9424                      www.veritext.com                      ']",[211],"[""('e', '22')""]"
[ 72.   6. 211.   1.  63.  11.  24.   2.],45,73,0,['DATE'],175,2,"['Ben Wooded, Esquire\\n\\n\\n\\nBrook Jagues, Esquire 22\\n\\n\\n\\nVeritext Reporting Company 212-2 7 9-9424                      www.veritext.com                      ']",[211],"[""('e', '22')""]"
[ 74.   2. 231.   0.   6.   4.   6.  23.],46,74,1,['CARDINAL'],175,1,['212-490-3 430\\n\\n\\n\\nc8b13f28-7ef2-4836-9bb0-02c0f6aa6e16\\n\\npgNbr=2\\n\\nPage 1120\\n\\n\\n\\nINDEX\\n\\n\\n\\nKENNETH'],[231],['212']
[ 75.   2. 231.   0.   6.   4.   6.  34.],47,75,0,['CARDINAL'],175,1,['212-490-3 430\\n\\n\\n\\nc8b13f28-7ef2-4836-9bb0-02c0f6aa6e16\\n\\npgNbr=2\\n\\nPage 1120\\n\\n\\n\\nINDEX\\n\\n\\n\\nKENNETH'],[231],['430\\n\\n\\n\\nc8b13f28']
[ 76.   3. 246.  10.  66.  34.   9.  75.],48,76,1,['PERSON'],175,1,"['MICHAEL CUMMINGS, Ph.D\\n\\n\\n\\nDIRECT EXAMINATION\\n\\n\\n\\nBy  ']",[246],['MICHAEL CUMMINGS']
[ 77.   3. 246.  10.  66.  34.   9.  57.],49,77,0,['PERSON'],175,1,"['MICHAEL CUMMINGS, Ph.D\\n\\n\\n\\nDIRECT EXAMINATION\\n\\n\\n\\nBy  ']",[246],['EXAMINATION\\n\\n\\n\\nBy']
[ 78.   0. 254.  10.  -1.  37.   8.   0.],50,78,1,['PERSON'],175,1,['Mr.   Prysock--------------------------\\n\\n\\n\\nEXHIBITS\\n\\n\\n\\n-none-\\n\\n\\n\\n1124\\n\\nTHE COURT:  '],[254],['  ']
[ 79.   1. 267.   9.  43.  42.  20.  91.],51,79,1,['ORG'],175,1,['PRYSOCK:  '],[267],['PRYSOCK']
[ 80.   1. 270.   1.  16.  35.  15.  76.],52,80,1,['DATE'],175,1,['May'],[270],['May']
[ 81.   1. 281.   9.  45.  43.  21.  92.],53,81,0,['ORG'],175,1,['PRYSOCK:\\n\\n\\n\\nQ    '],[281],['PRYSOCK:\\n\\n\\n\\nQ']
[ 82.   3. 283.   1.  15.  16.  49.  68.],54,82,1,['DATE'],175,1,"['Good morning, Dr. Cummings.  ']",[283],['Good morning']
[ 83.   3. 283.  10.  15.  16.  49.  47.],55,83,1,['PERSON'],175,1,"['Good morning, Dr. Cummings.  ']",[283],['Cummings']
[ 84.   1. 295.  10.  74.  77.  50. 152.],56,84,0,['PERSON'],175,1,['name.\\n\\n\\n\\nA    '],[295],['name.\\n\\n\\n\\nA']
[ 85.   5. 297.  10.  65.  33.  12.  71.],57,85,0,['PERSON'],175,1,"['Kenneth Michael Cummings.\\n\\n\\n\\nQ    Dr. Cummings, what is your current profession?\\n\\n\\n\\nA    ']",[297],['Kenneth Michael Cummings.\\n\\n\\n\\nQ']
[ 86.   5. 297.  10.  65.  33.  12.  47.],58,86,1,['PERSON'],175,1,"['Kenneth Michael Cummings.\\n\\n\\n\\nQ    Dr. Cummings, what is your current profession?\\n\\n\\n\\nA    ']",[297],['Cummings']
[ 87.   5. 297.  12.  65.  33.  12. 160.],59,87,0,['PRODUCT'],175,1,"['Kenneth Michael Cummings.\\n\\n\\n\\nQ    Dr. Cummings, what is your current profession?\\n\\n\\n\\nA    ']",[297],['profession?\\n\\n\\n\\nA    ']
[ 88.   4. 310.   9.  41.  24.   0.  77.],60,88,0,['ORG'],175,1,"[""I'm a professor in the department of psychiatry\\n\\n\\n\\nand behavioral sciences at the Medical University of\\n\\n\\n\\nSouth Carolina.\\n\\n\\n\\nQ    ""]",[310],['Medical University of\\n\\n\\n\\nSouth Carolina.\\n\\n\\n\\nQ']
[ 89.   3. 328.   3.  25.   9.  45.  45.],61,89,1,['GPE'],175,1,"['And where is that located, sir?\\n\\n\\n\\nA    Charleston, South Carolina.\\n\\n\\n\\nQ    ']",[328],['Charleston']
[ 90.   3. 328.   7.  25.   9.  45. 108.],62,90,0,['NORP'],175,1,"['And where is that located, sir?\\n\\n\\n\\nA    Charleston, South Carolina.\\n\\n\\n\\nQ    ']",[328],['South Carolina.\\n\\n\\n\\nQ']
[ 91.   2. 344.  13.  81.  61.  40. 185.],63,91,1,['TIME'],175,1,"[""We're going to go through a little bit\\n\\n\\n\\nof your experience and background this morning before we\\n\\n\\n\\nstart""]",[344],['this morning']
[ 92.   5. 370.   8.  36.  73.  60. 138.],64,92,1,['ORDINAL'],175,1,"['but\\n\\n\\n\\nwhat I would like to do first is start with your\\n\\n\\n\\neducation, where you went to; where you attended\\n\\n\\n\\ncollege, where you did your postgraduate studies, what\\n\\n\\n\\nit was in, and that type thing.\\n\\n\\n\\nA    Sure.  ']",[370],['first']
[ 93.   5. 370.   4.  36.  73.  60. 201.],65,93,0,['LANGUAGE'],175,1,"['but\\n\\n\\n\\nwhat I would like to do first is start with your\\n\\n\\n\\neducation, where you went to; where you attended\\n\\n\\n\\ncollege, where you did your postgraduate studies, what\\n\\n\\n\\nit was in, and that type thing.\\n\\n\\n\\nA    Sure.  ']",[370],['your\\n\\n\\n\\neducation']
[ 94.   5. 370.   9.  36.  73.  60. 127.],66,94,0,['ORG'],175,1,"['but\\n\\n\\n\\nwhat I would like to do first is start with your\\n\\n\\n\\neducation, where you went to; where you attended\\n\\n\\n\\ncollege, where you did your postgraduate studies, what\\n\\n\\n\\nit was in, and that type thing.\\n\\n\\n\\nA    Sure.  ']",[370],['attended\\n\\n\\n\\ncollege']
[ 95.   5. 370.  12.  36.  73.  60. 184.],67,95,0,['PRODUCT'],175,1,"['but\\n\\n\\n\\nwhat I would like to do first is start with your\\n\\n\\n\\neducation, where you went to; where you attended\\n\\n\\n\\ncollege, where you did your postgraduate studies, what\\n\\n\\n\\nit was in, and that type thing.\\n\\n\\n\\nA    Sure.  ']",[370],['thing.\\n\\n\\n\\nA    Sure']
[ 96.   1. 413.   9.  48.  63.  61. 126.],68,96,0,['ORG'],175,1,"['Well, I started out actually at\\n\\n\\n\\nFlorida']",[413],['at\\n\\n\\n\\nFlorida']
[ 97.   4. 420.   5.  31.  49.  10. 109.],69,97,1,['LOC'],175,1,"['Southern College here for a semester, and then I\\n\\n\\n\\ntransferred to Miami University.  ']",[420],['Southern College']
[ 98.   4. 420.   9.  31.  49.  10.  80.],70,98,1,['ORG'],175,1,"['Southern College here for a semester, and then I\\n\\n\\n\\ntransferred to Miami University.  ']",[420],['Miami University']
[ 99.   4. 435.   3.  28.  36.  16.  79.],71,99,1,['GPE'],175,1,"['Miami, Ohio, the one\\n\\n\\n\\nup in Oxford, Ohio, not down here, and I did my degree\\n\\n\\n\\nin physical education and health education.  ']",[435],['Miami']
[101.   4. 435.   3.  28.  36.  16.  90.],72,100,1,['GPE'],175,3,"['Miami, Ohio, the one\\n\\n\\n\\nup in Oxford, Ohio, not down here, and I did my degree\\n\\n\\n\\nin physical education and health education.  ']",[435],['Ohio']
[101.   4. 435.   3.  28.  36.  16.  90.],72,101,2,['GPE'],175,3,"['Miami, Ohio, the one\\n\\n\\n\\nup in Oxford, Ohio, not down here, and I did my degree\\n\\n\\n\\nin physical education and health education.  ']",[435],['Oxford']
[101.   4. 435.   3.  28.  36.  16.  90.],72,102,3,['GPE'],175,3,"['Miami, Ohio, the one\\n\\n\\n\\nup in Oxford, Ohio, not down here, and I did my degree\\n\\n\\n\\nin physical education and health education.  ']",[435],['Ohio']
[103.   6. 462.   9.  56.   6.  66. 176.],73,103,1,['ORG'],175,1,"[""After that\\n\\n\\n\\nI went to the University of Michigan where I did a\\n\\n\\n\\nmaster's of public health and health behavior and health\\n\\n\\n\\neducation, and then I continued to do my Ph.D. at the\\n\\n\\n\\nUniversity of Michigan in the same area, public health\\n\\n\\n\\neducation, health behavior.\\n\\n\\n\\nSo""]",[462],['the University of Michigan']
[104.   6. 462.  14.  56.   6.  66.  95.],74,104,1,['WORK_OF_ART'],175,1,"[""After that\\n\\n\\n\\nI went to the University of Michigan where I did a\\n\\n\\n\\nmaster's of public health and health behavior and health\\n\\n\\n\\neducation, and then I continued to do my Ph.D. at the\\n\\n\\n\\nUniversity of Michigan in the same area, public health\\n\\n\\n\\neducation, health behavior.\\n\\n\\n\\nSo""]",[462],['Ph.D.']
[105.   6. 462.   3.  56.   6.  66.  81.],75,105,1,['GPE'],175,1,"[""After that\\n\\n\\n\\nI went to the University of Michigan where I did a\\n\\n\\n\\nmaster's of public health and health behavior and health\\n\\n\\n\\neducation, and then I continued to do my Ph.D. at the\\n\\n\\n\\nUniversity of Michigan in the same area, public health\\n\\n\\n\\neducation, health behavior.\\n\\n\\n\\nSo""]",[462],['Michigan']
[106.   1. 506.  10.  73.  79.   1. 142.],76,106,0,['PERSON'],175,1,"[""that's the education that I've had.\\n\\n\\n\\nQ    ""]",[506],['had.\\n\\n\\n\\nQ']
[107.   4. 518.   3.  30.   7.  39. 181.],77,107,0,['GPE'],175,1,['After you received your doctorate at the\\n\\n\\n\\nUniversity of Michigan where did you go to work?\\n\\n\\n\\nA    '],[518],['the\\n\\n\\n\\nUniversity of Michigan']
[108.   4. 518.   2.  30.   7.  39. 195.],78,108,0,['FAC'],175,1,['After you received your doctorate at the\\n\\n\\n\\nUniversity of Michigan where did you go to work?\\n\\n\\n\\nA    '],[518],['work?\\n\\n\\n\\nA    ']
[109.   2. 534.  10.  77.  62.  61. 190.],79,109,0,['PERSON'],175,1,"['Well, I started out actually as I was\\n\\n\\n\\nfinishing up my Ph.D.']",[534],['was\\n\\n\\n\\nfinishing']
[110.   2. 534.  14.  77.  62.  61.  95.],80,110,1,['WORK_OF_ART'],175,1,"['Well, I started out actually as I was\\n\\n\\n\\nfinishing up my Ph.D.']",[534],['Ph.D.']
[111.  15. 546.  10.  70.  23.  67. 116.],81,111,0,['PERSON'],175,1,"[""I was working at Wayne State\\n\\n\\n\\nUniversity in the department of community medicine\\n\\n\\n\\nthere, and then I was offered a job at Roswell Park\\n\\n\\n\\nCancer Institute in Buffalo, New York, and I move to\\n\\n\\n\\nBuffalo in the early 80's, early part of '81, and I\\n\\n\\n\\nstayed there until 2011.\\n\\n\\n\\nSo""]",[546],['Wayne State\\n\\n\\n\\nUniversity']
[112.  15. 546.   0.  70.  23.  67. 151.],82,112,0,['CARDINAL'],175,1,"[""I was working at Wayne State\\n\\n\\n\\nUniversity in the department of community medicine\\n\\n\\n\\nthere, and then I was offered a job at Roswell Park\\n\\n\\n\\nCancer Institute in Buffalo, New York, and I move to\\n\\n\\n\\nBuffalo in the early 80's, early part of '81, and I\\n\\n\\n\\nstayed there until 2011.\\n\\n\\n\\nSo""]",[546],['medicine\\n\\n\\n\\nthere']
[113.  15. 546.   9.  70.  23.  67. 105.],83,113,0,['ORG'],175,1,"[""I was working at Wayne State\\n\\n\\n\\nUniversity in the department of community medicine\\n\\n\\n\\nthere, and then I was offered a job at Roswell Park\\n\\n\\n\\nCancer Institute in Buffalo, New York, and I move to\\n\\n\\n\\nBuffalo in the early 80's, early part of '81, and I\\n\\n\\n\\nstayed there until 2011.\\n\\n\\n\\nSo""]",[546],['Roswell Park\\n\\n\\n\\nCancer Institute']
[114.  15. 546.   3.  70.  23.  67.  42.],84,114,1,['GPE'],175,2,"[""I was working at Wayne State\\n\\n\\n\\nUniversity in the department of community medicine\\n\\n\\n\\nthere, and then I was offered a job at Roswell Park\\n\\n\\n\\nCancer Institute in Buffalo, New York, and I move to\\n\\n\\n\\nBuffalo in the early 80's, early part of '81, and I\\n\\n\\n\\nstayed there until 2011.\\n\\n\\n\\nSo""]",[546],['Buffalo']
[114.  15. 546.   3.  70.  23.  67.  42.],84,118,2,['DATE'],175,2,"[""I was working at Wayne State\\n\\n\\n\\nUniversity in the department of community medicine\\n\\n\\n\\nthere, and then I was offered a job at Roswell Park\\n\\n\\n\\nCancer Institute in Buffalo, New York, and I move to\\n\\n\\n\\nBuffalo in the early 80's, early part of '81, and I\\n\\n\\n\\nstayed there until 2011.\\n\\n\\n\\nSo""]",[546],['81']
